song,expected_key,expected_mode,expected_loudness,expected_tempo,expected_time_signature,pred_key,pred_mode,pred_loudness,pred_tempo,pred_time_signature
song_1,10.0,0.0,-9.398,77.703,4.0,D#,0,-7.209841,[161.49902344],4
song_2,11.0,0.0,-21.736,115.35,4.0,C#,0,-19.962334,[143.5546875],4
song_3,0.0,1.0,-5.064,136.575,4.0,G,1,-11.351338,[135.99917763],4
song_4,9.0,0.0,-10.518,139.957,4.0,A,1,-18.225372,[129.19921875],4
song_6,4.0,1.0,-15.24,186.047,3.0,B,1,-22.447023,[184.5703125],4
song_7,4.0,0.0,-6.671,80.024,4.0,F#,0,-10.280443,[107.66601562],4
song_9,4.0,1.0,-10.222,115.359,4.0,B,1,-14.766535,[117.45383523],4
song_10,8.0,1.0,-11.383,113.237,4.0,G#,0,-21.569675,[112.34714674],4
song_12,0.0,1.0,-6.92,109.978,4.0,G,1,-12.265978,[112.34714674],4
song_13,5.0,1.0,-8.996,93.845,4.0,F,1,-14.685665,[92.28515625],4
song_14,5.0,1.0,-6.642,99.431,4.0,G,1,-14.979204,[99.38401442],4
song_15,4.0,1.0,-7.957,130.136,3.0,G#,0,-11.342571,[135.99917763],4
song_16,8.0,1.0,-10.07,91.147,4.0,G#,0,-14.890689,[92.28515625],4
song_17,7.0,0.0,-9.86,139.874,4.0,G,1,-15.319784,[135.99917763],4
song_18,10.0,0.0,-12.097,94.008,4.0,D#,0,-16.823318,[95.703125],4
song_19,2.0,1.0,-7.34,100.012,4.0,E,1,-9.7686405,[99.38401442],4
song_20,7.0,1.0,-13.083,171.992,4.0,G,1,-21.044197,[86.1328125],4
song_21,4.0,1.0,-6.605,128.015,4.0,B,1,-10.9024515,[129.19921875],4
song_22,10.0,0.0,-5.248,106.536,4.0,C,1,-11.099435,[103.359375],4
song_24,0.0,1.0,-7.868,91.021,4.0,F,1,-10.143882,[89.10290948],4
