song,expected_key,expected_mode,expected_loudness,expected_tempo,expected_time_signature,pred_key,pred_mode,pred_loudness,pred_tempo,pred_time_signature
Hide in Your ShellSupertramp,7.0,0.0,-12.843,111.667,4.0,F,1,-421.4037,[112.5],4
Vento k h o,10.0,0.0,-9.398,77.703,4.0,E,1,-545.08997,[100.44642857],4
Cesaro SummabilityTool,11.0,0.0,-21.736,115.35,4.0,D,1,-495.61523,[119.68085106],4
Dyslexic HeartPaul Westerberg,0.0,1.0,-5.064,136.575,4.0,C,1,-412.9024,[137.19512195],4
Loan Me A DimeBoz Scaggs,9.0,0.0,-10.518,139.957,4.0,A,1,-423.49207,[137.19512195],4
The Wreck of the Edmund FitzgeraldGordon Lightfoot,4.0,1.0,-15.24,186.047,3.0,B,1,-474.4472,[181.4516129],4
IonsShredders,4.0,0.0,-6.671,80.024,4.0,F#,0,-233.07098,[106.13207547],4
The Middle - Acoustic VersionJimmy Eat World,,,,,,A,1,-313.16605,[148.02631579],4
Easy RiderEddie Berman,4.0,1.0,-10.222,115.359,4.0,B,1,-316.5867,[114.79591837],4
Dominick the Donkey (The Italian Christmas Donkey)Lou Monte,8.0,1.0,-11.383,113.237,4.0,G#,0,-443.7596,[112.5],4
AmerikaRammstein,2.0,0.0,-4.296,125.023,4.0,D,1,-276.82544,[125.],4
Human NatureCaught a Ghost,0.0,1.0,-6.92,109.978,4.0,G,1,-287.6259,[110.29411765],4
These WallsMoss Kena,5.0,1.0,-8.996,93.845,4.0,A,1,-337.1574,[46.875],4
Washin' My Big Ol' PussyBirdcloud,5.0,1.0,-6.642,99.431,4.0,G,1,-402.53555,[98.68421053],3
How Could You BabeTobias Jesso Jr.,4.0,1.0,-7.957,130.136,3.0,E,1,-275.11124,[130.81395349],4
Black VelvetAlannah Myles,8.0,1.0,-10.07,91.147,4.0,D#,0,-442.7915,[90.72580645],3
Drifting AwayClaire Guerreso,7.0,0.0,-9.86,139.874,4.0,C,1,-339.57,[140.625],4
The River WillThe Lowest Pair,10.0,0.0,-12.097,94.008,4.0,D#,0,-353.83948,[187.5],4
Mr. B (feat. Dominic Lalli)Griz,2.0,1.0,-7.34,100.012,4.0,A,1,-256.21167,[100.44642857],4
